Id,Compagnie/Airline,Code IATA/  IATA code,Code OACI/  ICAO code,Pays/Country,Website,Remarques/Remarks
187.0,AIR NIPPON NETWORK,EH,AKX,Japon/Japan,www.ank-net.co.jp,Fusionnée avec Air Central et Air Next pour former ANA Wings le 10 octobre 2010 / Merged with Air Central and air Next on 1 October 2010 to form ANA Wings
188.0,AIR NIUGINI,PX,ANG,Papouasie-Nouvelle Guinée/Papua New Guinea,www.airniugini.com.pg,
189.0,AIR NORTH,4N,ANT,Canada,www.flyairnorth.com,
190.0,AIR NOSTRUM (IBERIA REGIONAL),YW,ANE,Espagne/Spain,www.airnostrum.es,
191.0,AIR NOVA,QK,ARN,Canada,,Fusionna avec Air BC et Air Ontario pour former Air Canada Connector en 2000 / Merged with Air BC and Air Ontario to form Air Canada in 2000.
192.0,AIR NUNAVUT,YH,BFF,Canada,,
193.0,AIR ONE,AP,ADH,Italie/Italia,www.flyairone.it,Absorbée par Alitalia en le 13 janvier 2009 / Merged into Alitalia on 13 January 2009
194.0,AIR ONE,AP,ADH,Suède/Sweden,,Fin des opérations : 1994 / Date of end of operations : 1994
196.0,AIR ONTARIO,GX,ONT,Canada,,Fusionna avec Air BC et Air Nova pour former Air Canada Connector en 2000 / Merged with Air BC and Air Nova to form Air Canada in 2000.
197.0,AIR OPEN SKY,,OPN,France,,Fin des opérations : fin 2000 / Date of end of operations : end of 2000
198.0,AIR OPERATIONS OF EUROPE - AIR OPS,,ALF,Suède/Sweden,,Fin des opérations : 1996 / Date of end of operations : 1996
200.0,AIR PACIFIC,FJ,FJI,Fiji,www.fijiairways.com,Renommée Fiji Airways en 2012/Rebranded as Fiji Airways in 2012
201.0,AIR PANAMA INTERNATIONAL,OP,API,Panama,,Absorbée par COPA en 1990/Absorbed by COPA in 1990
202.0,AIR PEOPLE INTERNATIONAL,3D,APG,Thailande/Thailand,,Fin des opérations : 2005 / Date of end of operations : 2005
203.0,AIR PHILIPPINES,2P,GAP,Philippines,www.airphils.com,
205.0,AIR REGIONAL,,ARI,Indonésie/Indonesia,www.airregionalindonesia.com,
208.0,AIR SAINT-PIERRE,PJ,SPM,Saint Pierre et/and Miquelon,www.airsaintpierre.com,
210.0,AIR SÂO TOME E PRINCIPE,KY,EQL,Sâo Tomé and Principe,,
211.0,AIR SATELLITE,6O,ASJ,Canada,www.air-satellite.com,
212.0,AIR SCANDIC,,SCY,Grande Bretagne/U.K.,,Fin des opérations :14 septembre 2005 / Date of end of operations : 14 September 2005
214.0,AIR SENEGAL INTERNATIONAL,V7,SNG,Sénégal/Senegal,,Fin des opérations : 24 avril 2009 / Date operations ceased : 24 April 2009
215.0,AIR SINAI,4D,ASD,Egypte/Egypt,,
216.0,AIR SLOVAKIA,GM,SVK,Slovaquie/Slovakia,,Fin des opérations : 2 mars 2010 / Date operations ceased : 2 March 2010
217.0,AIR SOFIA,CT,SFB,Bulgarie/Bulgaria,,Fin des opérations : 20 juin 2007 / Date of end of operations : 20 June 2007
218.0,AIR SOUTH AIRLINES (AIR SOUTH),WV,KKB,U.S.A.,,Fin des opérations : fin 1987 / Date of end of operations : end of 1987
220.0,AIR STORD,GO,SOR,Norvège/Norway,,Absorbée par Suckling Airways en 1999/Taken over by Suckling Airways in 1999
221.0,AIR SUL,FK,SUL,Portugal,,Fin des opérations : 1992 / Date of end of operations : 1992
222.0,AIR SUR,GC,NCR,Espagne/Spain,,Fin des opérations : juin 1991 / Date of end of operations : end of 1991
224.0,AIR TAHOMA,5C,HMA,USA,,Fin des opérations : janvier 2009 / Date of end of operations : January 2009
225.0,AIR TANZANIA,TC,ATC,Tanzanie/Tanzania,,Fin des opérations : 8 décembre 2008 / Date operations ceased : 8 December 2008
226.0,AIR TERREX,GM,SVK,République Tchèque/Czech Republic,,Fin des opérations : 1996 / Date of end of operations : 1996
230.0,AMAPOLA FLYG,,APF,Suède/Sweden,www.amapola.nu,
231.0,AIR TRANSPORT EUROPE,,EAT,Slovaquie/Slovakia,www.ate.sk,
232.0,ATI - AIR TRANSPORT INTERNATIONAL,8C,ATN,USA,www.airtransport.cc,
238.0,AIR UNIVERSAL/HELLENIC IMPERIAL AIRWAYS,HT,IMP,Grèce/Greece,www.hellenicairways.com,
241.0,AIR VANUATU,NF,AVN,Vanuatu,www.airvanuatu.com,
244.0,AIR VIAS,,AIV,Brésil/Brazil,,Fin des opérations : novembre 1995 / Date of end of operations : November 1995
245.0,AIR WALES,6G,AWW,Grande Bretagne/U.K.,,
246.0,AIR WISCONSIN,ZW,AWI,USA,www.airwis.com,
247.0,AIR ZAÏRE,QC,ACR,Rép. Dém. Du Congo/Dem. Rep. Of Congo,,Fin des opérations : novembre 1995 / Date of end of operations : November 1995
248.0,AIRASIA,AK,AXM,Malaisie/Malaysia,www.airasia.com,
249.0,AIRBALTIC,BT,BTI,Lettonie/Latvia,www.airbaltic.com,
250.0,AIRBLUE,ED,ABQ,Pakistan,www.airblue.com,
251.0,AIRBRIDGECARGO (ABC),RU,ABW,Russie/Russia,www.airbridgecargo.com,
254.0,AIRCRUISING AUSTRALIA,,AIX,Australie/Australia,www.aircruising.com.au,
255.0,AIRES COLOMBIA,4C,ARE,Colombie/Colombia,www.aires.aero,Voir/See Lan Colombia
261.0,AIRNORTH,TL,ANO,Australie/Australia,www.airnorth.com.au,
262.0,AIRQUARIUS AVIATION,,AQU,Afrique du Sud/South Africa,www.airquarius.com,
263.0,AIRSTARS,PL,ASE,Russie/Russia,www.airstars.ru,Fin des opérations : 21 octobre 2011 / Date of end of operations : 21 Oktober 2011
